match_id,winner_slot,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,toss_winner_slot
1254099,0,139.75,0.5,0.0,0.0,1.0,0.0,1.0,0.0,2,2,155.2,148.6,158.6,173.8,0.5,0.0,0.5901639344262295,0.54,0
1254092,0,162.05,0.5714285714285714,1.0,0.25,3.0,1.0,2.0,1.0,4,3,157.2,149.2,140.8,139.6,0.5555555555555556,0.375,0.5882352941176471,0.4857142857142857,0
1254103,0,157.1315789473684,0.25,0.2222222222222222,0.5,10.0,11.0,0.0,3.0,2,2,172.2,168.2,145.8,142.2,0.543859649122807,0.4,0.5,0.4615384615384615,0
1254091,0,160.45238095238096,0.6,0.3333333333333333,0.4,4.0,11.0,1.0,2.0,1,4,151.4,164.2,175.2,170.6,0.5135135135135135,0.3846153846153846,0.6666666666666666,0.6226415094339622,0
1254102,0,156.97435897435898,0.2857142857142857,0.5,0.0,1.0,0.0,1.0,0.0,3,2,141.6,140.4,157.6,150.8,0.5942028985507246,0.4857142857142857,0.5,0.0,0
1254089,0,139.0,0.6666666666666666,1.0,0.0,15.0,9.0,1.0,2.0,4,2,168.4,163.2,167.8,164.4,0.673469387755102,0.6226415094339622,0.543859649122807,0.4,0
1254112,0,159.36363636363637,0.625,0.5,0.75,5.0,2.0,2.0,1.0,2,4,151.6,166.6,148.6,141.0,0.5967741935483871,0.54,0.5555555555555556,0.375,0
1254109,0,157.2125,0.3181818181818182,0.5833333333333334,0.4,7.0,12.0,0.0,2.0,1,3,144.0,157.4,143.8,142.8,0.5135135135135135,0.3846153846153846,0.5942028985507246,0.4857142857142857,1
1254090,1,158.1086956521739,0.6470588235294118,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,2,2,142.2,138.0,155.4,154.8,0.5074626865671642,0.4615384615384615,0.6666666666666666,0.0,1
1254110,0,156.23170731707316,0.3181818181818182,0.7,0.4,3.0,3.0,0.0,3.0,4,4,162.6,157.4,143.8,136.0,0.673469387755102,0.6226415094339622,0.5789473684210527,0.375,0
1254093,0,158.22916666666666,0.6470588235294118,0.5,0.4,11.0,12.0,1.0,2.0,2,1,161.8,169.2,133.6,149.4,0.5517241379310345,0.4,0.5967741935483871,0.54,0
